Country Name,Country Code,lat,lng,1971,1976,1981,1986,1991,1996,2001,2006,2011,2016,2021
Malaysia,MYS,4.210484,101.975766,,,,,,,,,101.5084534,100.703598,106.6680374
Maldives,MDV,3.202778,73.22068,9.924369812,10.49969006,,,15.21681023,13.19752979,12.72204971,19.98220062,31.47913933,36.02994919,
Mali,MLI,17.570692,-3.996166,,,,,,,,82.5342865,94.02249908,102.243187,
Malta,MLT,35.937496,14.375416,29.44428062,32.46274948,38.75400162,45.36169815,51.26651001,59.33705902,64.35865784,68.53605652,72.32266998,74.79454803,77.14196014
Marshall Islands,MHL,7.131474,171.184478,,,48.86352158,61.58044815,60.1913414,61.64936066,70.24668121,81.82424164,85.3558197,96.01551819,
Mauritania,MRT,21.00789,-10.940835,,,,,,,,95.60337067,109.4753265,95.33981323,97.66838837
Mauritius,MUS,-20.348404,57.552152,,,,48.92020035,51.30688095,57.15021896,65.02449799,71.34285736,76.73155975,79.04958344,80.34825134
Mexico,MEX,23.634501,-102.552784,,,,,,89.56845856,91.57103729,91.00369263,87.68081665,88.08535767,86.17952728
"Micronesia, Fed. Sts.",FSM,7.425554,150.550812,3.892869949,6.120920181,6.379240036,5.485879898,,,15.91958046,30.54472923,40.03218079,30.61697006,29.69816971
Moldova,MDA,47.411631,28.369885,,70.62906647,84.63253784,,,108.91185,66.69103241,94.6121521,106.5424576,105.1724091,94.79229736
Mongolia,MNG,46.862496,103.846656,,,,10.97546005,9.455400467,9.510270119,3.872869968,10.82909012,22.7717495,22.94938087,24.23402977
Montenegro,MNE,42.708678,19.37439,,,8.2188797,11.73653984,11.02867031,13.02517033,17.00868034,20.39744949,20.29693031,29.44029999,45.94229126
Morocco,MAR,31.791702,-7.09262,,41.79401016,52.21939087,46.43172836,64.03804779,70.80599213,75.73744965,77.9047699,84.68097687,88.49002838,102.6442032
Mozambique,MOZ,-18.665695,35.529562,,20.80080032,26.81726074,29.36020088,29.52983093,49.9095993,30.25634,20.28525925,19.85232925,24.04039955,22.8169384
Myanmar,MMR,21.913965,95.956223,,,,,,,85.48776245,86.85272217,85.04154968,83.33721924,84.59291077
Namibia,NAM,-22.95764,18.49041,,,,,,,,,,95.99739075,94.73213959
